RK,TIERS,PLAYER NAME,TEAM,POS,AVG.,STD.DEV
265,12,Randall Cobb,GB,WR94,255.4,30.9
266,12,C.J. Uzomah,NYJ,TE31,255.9,32.0
267,12,Greg Zuerlein,NYJ,K17,255.1,38.4
268,12,Marquez Callaway,NO,WR95,250.1,31.9
269,12,Minnesota Vikings,MIN,DST22,269.0,28.4
270,12,Cedrick Wilson Jr.,MIA,WR96,257.6,31.1
271,12,Wil Lutz,NO,K18,272.0,23.0
272,12,Sammy Watkins,GB,WR97,252.0,41.2
273,12,Chris Boswell,PIT,K19,272.4,19.3
274,12,Zack Moss,BUF,RB76,256.3,46.6
275,12,Chicago Bears,CHI,DST23,277.0,39.9
276,12,Mason Crosby,GB,K20,277.3,20.1
277,12,Nelson Agholor,NE,WR98,268.1,30.0
278,12,Marcus Mariota,ATL,QB30,283.3,45.8
279,12,Cameron Brate,TB,TE32,241.1,46.9
280,12,Matt Breida,NYG,RB77,274.8,35.3
281,12,Graham Gano,NYG,K21,288.9,24.0
282,12,Trey McBride,ARI,TE33,273.2,28.2
283,12,Mitch Trubisky,PIT,QB31,294.6,47.8
284,12,Washington Commanders,WAS,DST24,287.8,36.7
285,12,O.J. Howard,BUF,TE34,277.0,33.0
286,12,New York Giants,NYG,DST25,293.5,35.7
287,12,Jason Myers,SEA,K22,284.1,25.3
288,12,Tre'Quan Smith,NO,WR99,271.4,38.0
289,12,Greg Joseph,MIN,K23,286.3,34.2
290,12,Hassan Haskins,TEN,RB78,275.8,50.2
291,12,Cairo Santos,CHI,K24,295.0,27.0
292,12,Romeo Doubs,GB,WR100,234.5,60.3
293,12,Seattle Seahawks,SEA,DST26,297.1,36.7
294,13,New York Jets,NYJ,DST27,297.9,40.7
295,13,Randy Bullock,TEN,K25,294.3,29.3
296,13,Darius Slayton,NYG,WR101,280.0,31.2
297,13,Ty Johnson,NYJ,RB79,274.6,44.7
298,13,Ka'imi Fairbairn,HOU,K26,300.5,32.3
299,13,Ke'Shawn Vaughn,TB,RB80,287.4,32.8
300,13,Quez Watkins,PHI,WR102,288.4,20.7
301,13,Josh Reynolds,DET,WR103,283.6,31.5
302,13,Phillip Lindsay,IND,RB81,292.4,41.5
303,13,Emmanuel Sanders,FA,WR104,271.4,41.1
304,13,Chris Evans,CIN,RB82,251.6,58.8
305,13,Jacksonville Jaguars,JAC,DST28,307.4,42.0
306,13,Jalen Reagor,PHI,WR105,290.7,33.9
307,13,Eno Benjamin,ARI,RB83,288.5,59.4
308,13,Dyami Brown,WAS,WR106,294.9,23.9
309,13,Pierre Strong Jr.,NE,RB84,291.3,39.7
310,13,Kyren Williams,LAR,RB85,303.5,35.0
311,13,Kyle Rudolph,TB,TE35,256.7,42.5
312,13,Darrynton Evans,CHI,RB86,293.4,25.1
313,13,Cole Beasley,FA,WR107,277.4,38.3
314,13,Giovani Bernard,TB,RB87,301.5,26.9
315,13,Quintez Cephus,DET,WR108,297.1,30.2
316,13,Drew Lock,SEA,QB32,325.9,33.3
317,13,Devin Duvernay,BAL,WR109,265.9,42.9
318,13,Kenny Pickett,PIT,QB33,323.4,35.2
319,13,Salvon Ahmed,MIA,RB88,300.8,32.1
320,13,Justin Jackson,DET,RB89,274.4,56.7
321,13,Jimmy Garoppolo,SF,QB34,325.8,39.7
322,13,Velus Jones Jr.,CHI,WR110,277.1,37.8
323,13,Duke Johnson Jr.,BUF,RB90,317.7,23.5
324,13,Jared Cook,FA,TE36,279.1,41.6
325,13,Chase McLaughlin,FA,K27,304.4,35.1
326,13,Joshua Kelley,LAC,RB91,316.3,23.3
327,13,Isiah Pacheco,KC,RB92,266.0,71.8
328,13,Tyler Badie,BAL,RB93,281.9,53.7
329,13,Greg Dulcich,DEN,TE37,283.7,41.7
330,13,Josh Lambo,FA,K28,307.2,34.7
331,13,David Johnson,FA,RB94,286.3,46.3
332,13,Ricky Seals-Jones,NYG,TE38,279.8,37.3
333,13,Tyler Conklin,NYJ,TE39,284.1,32.4
334,13,Nick Westbrook-Ikhine,TEN,WR111,280.1,44.3
335,13,Tevin Coleman,NYJ,RB95,327.3,21.9
336,13,Dontrell Hilliard,TEN,RB96,266.9,64.3
337,13,Harrison Bryant,CLE,TE40,289.7,35.4
338,13,Jerome Ford,CLE,RB97,323.9,24.6
339,13,T.Y. Hilton,FA,WR112,311.9,28.1
340,13,Tommy Tremble,CAR,TE41,294.4,30.9
341,13,Anthony Firkser,ATL,TE42,304.1,33.4
342,14,Daniel Bellinger,NYG,TE43,297.5,38.5
343,14,Sam Darnold,CAR,QB35,333.9,31.3
344,14,Tyquan Thornton,NE,WR113,295.4,42.9
345,14,Snoop Conner,JAC,RB98,300.8,49.2
346,14,John Metchie III,HOU,WR114,275.1,39.4
347,14,Malcolm Brown,NO,RB99,322.2,29.1
348,14,Jacoby Brissett,CLE,QB36,326.6,41.9
349,14,Geno Smith,SEA,QB37,328.6,39.1
350,14,Donald Parham Jr.,LAC,TE44,314.2,31.4
351,14,Devontae Booker,FA,RB100,320.6,27.1
352,14,Jalen Guyton,LAC,WR115,305.3,33.4
353,14,Jaret Patterson,WAS,RB101,334.7,21.4
354,14,Demarcus Robinson,LV,WR116,307.9,34.9
355,14,Latavius Murray,FA,RB102,320.3,22.2
356,14,James Washington,DAL,WR117,310.3,43.6
357,14,Las Vegas Raiders,LV,DST29,314.7,32.7
358,14,James Proche II,BAL,WR118,302.9,48.5
359,14,Jelani Woods,IND,TE45,314.5,37.2
360,14,Devonta Freeman,FA,RB103,331.0,21.8
361,14,Desmond Ridder,ATL,QB38,340.0,34.1
362,14,Amari Rodgers,GB,WR119,313.5,44.5
363,14,Khalil Shakir,BUF,WR120,314.0,37.4
364,14,Kyle Philips,TEN,WR121,292.9,44.5
365,14,Foster Moreau,LV,TE46,323.5,36.6
366,14,Atlanta Falcons,ATL,DST30,317.9,44.8
367,14,Wayne Gallman Jr.,FA,RB104,328.6,21.8
368,14,Cade York,CLE,K29,306.6,24.8
369,14,Jonathan Garibay,FA,K30,310.2,23.3
370,14,Detroit Lions,DET,DST31,328.1,18.5
371,14,Cade Otton,TB,TE47,323.4,38.9
372,14,Calvin Austin III,PIT,WR122,325.7,33.6
373,14,Keaontay Ingram,ARI,RB105,325.4,32.2
374,14,Olamide Zaccheaus,ATL,WR123,320.1,48.0
375,14,John Bates,WAS,TE48,312.0,39.4
376,14,Anthony Schwartz,CLE,WR124,325.3,31.8
377,14,Laquon Treadwell,JAC,WR125,320.4,36.3
378,14,Tyler Johnson,TB,WR126,331.7,32.5
379,14,Kylen Granson,IND,TE49,334.6,35.0
380,14,Dee Eskridge,SEA,WR127,332.8,30.3
381,14,Jauan Jennings,SF,WR128,331.2,39.2
382,14,DeeJay Dallas,SEA,RB106,337.5,37.0
383,14,Benny Snell Jr.,PIT,RB107,316.8,45.5
384,14,Houston Texans,HOU,DST32,324.1,22.4
385,14,Derrick Gore,KC,RB108,338.1,28.6
386,14,Antonio Brown,FA,WR129,313.0,37.5
387,14,Kene Nwangwu,MIN,RB109,334.8,38.1
388,14,Chris Conley,HOU,WR130,318.4,49.8
389,14,Tristan Vizcaino,NE,K31,311.7,49.2
390,14,Rashard Higgins,CAR,WR131,332.7,42.0
391,14,Abram Smith,NO,RB110,319.7,38.1
392,14,Danny Gray,SF,WR132,335.9,43.3
393,14,Joey Slye,WAS,K32,315.1,20.5
394,14,Eric Ebron,FA,TE50,313.5,39.3
395,14,Austin Seibert,DET,K33,295.4,54.8
396,14,Josiah Deguara,GB,TE51,344.5,21.2
397,14,Brandon Bolden,LV,RB111,316.8,48.4
398,15,Teddy Bridgewater,MIA,QB39,331.6,21.0
399,15,Equanimeous St. Brown,CHI,WR133,346.4,32.1
400,15,Deonte Harty,NO,WR134,326.5,36.9
401,15,Taysom Hill,NO,QB40,342.4,25.3
402,15,Tylan Wallace,BAL,WR135,350.1,28.9
403,15,Zach Pascal,PHI,WR136,345.2,35.8
404,15,N'Keal Harry,CHI,WR137,334.9,31.3
405,15,Zane Gonzalez,CAR,K34,315.2,27.5
406,15,Craig Reynolds,DET,RB112,334.9,25.1
407,15,Tarik Cohen,FA,RB113,332.5,22.6
408,15,Auden Tate,ATL,WR138,334.5,30.6
409,15,Pharaoh Brown,HOU,TE52,344.1,32.6
410,15,Ryan Santoso,JAC,K35,324.3,16.5
411,15,Tutu Atwell,LAR,WR139,331.1,32.5
412,15,Noah Brown,DAL,WR140,318.2,38.6
413,15,JaMycal Hasty,SF,RB114,329.3,40.8
414,15,Tyrell Williams,FA,WR141,330.6,49.3
415,15,Malik Willis,TEN,QB41,350.4,29.9
416,15,Jeremy Ruckert,NYJ,TE53,358.6,15.1
417,15,Isaiah Likely,BAL,TE54,349.6,25.6
418,15,Jordan Howard,FA,RB115,328.9,23.4
419,15,Kevin Harris,NE,RB116,341.6,25.8
420,15,Blake Jarwin,FA,TE55,317.0,41.9
421,15,Keelan Cole Sr.,LV,WR142,341.6,38.3
422,15,Matt Corral,CAR,QB42,336.9,21.5
423,15,Riley Patterson,DET,K36,306.7,20.6
424,15,Ashton Dulin,IND,WR143,329.6,40.2
425,15,Antoine Wesley,ARI,WR144,338.1,41.9
426,15,Chris Herndon IV,NO,TE56,322.3,44.2
427,15,Jamal Agnew,JAC,WR145,340.7,33.4
428,15,Jordan Akins,NYG,TE57,325.7,34.9
429,15,Tony Jones Jr.,NO,RB117,335.5,14.7
430,15,Freddie Swain,SEA,WR146,348.8,27.9
431,15,Geoff Swaim,TEN,TE58,349.0,36.1
432,15,Carlos Hyde,FA,RB118,337.6,28.1
433,15,Will Dissly,SEA,TE59,351.0,26.2
434,15,Denzel Mims,NYJ,WR147,357.0,25.9
435,15,Dare Ogunbowale,HOU,RB119,344.8,37.4
436,15,Justice Hill,BAL,RB120,261.3,87.9
437,15,Jimmy Graham,FA,TE60,339.7,31.9
438,15,Demetric Felton Jr.,CLE,RB121,317.6,29.6
439,15,Le'Veon Bell,FA,RB122,331.5,23.3
440,15,Travis Homer,SEA,RB123,335.0,37.4
441,15,Ameer Abdullah,LV,RB124,335.7,26.5
442,15,Quinn Nordin,FA,K37,324.6,15.6
443,15,Mack Hollins,LV,WR148,277.0,37.3
444,15,Ian Thomas,CAR,TE61,362.1,15.9
445,15,Trestan Ebner,CHI,RB125,309.0,44.8
446,15,Ihmir Smith-Marsette,MIN,WR149,353.5,21.4
447,15,Kyle Juszczyk,SF,RB126,328.0,44.5
448,15,Anthony McFarland Jr.,PIT,RB127,354.5,26.5
449,15,Charlie Kolar,BAL,TE62,329.0,69.6
450,15,Ben Skowronek,LAR,WR150,313.8,35.5
451,15,Jashaun Corbin,NYG,RB128,330.8,36.9
452,15,Jake Ferguson,DAL,TE63,361.0,17.6
453,15,Jeremy McNichols,PIT,RB129,331.6,37.5
454,15,Juwan Johnson,NO,TE64,363.4,22.9
455,15,Kalif Raymond,DET,WR151,348.5,30.8
456,15,Kylin Hill,GB,RB130,364.3,17.5
457,15,James O'Shaughnessy,CHI,TE65,364.3,15.6
458,15,Ty Chandler,MIN,RB131,345.6,45.5
459,15,DeSean Jackson,FA,WR152,333.5,40.5
460,15,Gary Brightwell,NYG,RB132,314.0,8.5
461,15,Justyn Ross,KC,WR153,350.0,26.9
462,15,Patrick Ricard,BAL,RB133,339.0,48.8
463,15,Justin Watson,KC,WR154,339.0,33.4
464,15,Lirim Hajrullahu,DAL,K38,281.5,42.5
465,15,Kennedy Brooks,PHI,RB134,364.9,19.2
466,15,Carlos Martinez,DAL,K39,284.0,60.0
467,15,Phillip Dorsett II,HOU,WR155,324.0,19.6
468,15,Jordan Mason,SF,RB135,289.5,23.5
469,15,Ryan Griffin,CHI,TE66,355.2,10.7
470,15,Mike Boone,DEN,RB136,363.7,16.0
471,15,Mason Rudolph,PIT,QB43,296.0,101.0
472,15,Gardner Minshew II,PHI,QB44,296.0,20.0
473,15,Jacob Harris,LAR,TE67,372.8,18.1
474,15,Breshad Perriman,TB,WR156,331.0,21.4
475,15,Tyrod Taylor,NYG,QB45,336.3,19.2
476,16,Jermar Jefferson,DET,RB137,362.2,26.7
477,16,Chigoziem Okonkwo,TEN,TE68,354.3,5.1
478,16,Ryquell Armstead,JAC,RB138,312.5,24.5
479,16,Dez Fitzpatrick,TEN,WR157,342.3,7.7
480,16,Chris Moore,HOU,WR158,317.0,27.0
481,16,Mataeo Durant,PIT,RB139,344.3,43.6
482,16,Nick Vannett,NO,TE69,345.3,26.2
483,16,Jalen Wydermyer,BUF,TE70,322.5,31.5
484,16,C.J. Ham,MIN,RB140,326.0,5.0
485,16,Tyler Kroft,SF,TE71,350.3,35.1
486,16,Maxx Williams,ARI,TE72,352.7,7.7
487,16,Montrell Washington,DEN,WR159,331.0,38.0
488,16,Tyler Huntley,BAL,QB46,353.7,25.8
489,16,Drew Sample,CIN,TE73,364.8,19.4
490,16,Nick Boyle,BAL,TE74,365.8,17.4
491,16,Andrew Jacas,SF,K40,335.0,4.0
492,16,Godwin Igwebuike,DET,RB141,336.0,23.0
493,16,Zach Gentry,PIT,TE75,367.3,18.2
494,16,Ross Dwelley,SF,TE76,358.0,31.2
495,16,Marcedes Lewis,GB,TE77,339.5,20.5
496,16,Rico Dowdle,DAL,RB142,341.0,52.0
497,16,Brandon Zylstra,CAR,WR160,341.5,1.5
498,16,Anthony Miller,PIT,WR161,344.0,1.0
499,16,Damiere Byrd,ATL,WR162,345.0,28.0
500,16,Noah Gray,KC,TE78,372.5,11.4
501,16,Cam Sims,WAS,WR163,348.5,20.5
502,16,J.J. Taylor,NE,RB143,365.0,30.9
503,16,Zonovan Knight,NYJ,RB144,349.5,18.5
504,16,Marquise Goodwin,SEA,WR164,350.0,0.0
505,16,Jerrion Ealy,KC,RB145,366.0,14.8
506,16,Tre' McKitty,LAC,TE79,350.5,1.5
507,16,Cyril Grayson Jr.,TB,WR165,374.5,11.4
508,16,Durham Smythe,MIA,TE80,357.0,3.0
509,16,Josh Gordon,KC,WR166,358.5,13.5
510,16,Hunter Long,MIA,TE81,360.5,13.5
511,16,Miles Boykin,PIT,WR167,364.0,31.0
512,16,Ty Montgomery,NE,RB146,365.0,13.0
513,16,Bisi Johnson,MIN,WR168,377.3,10.1
514,16,Trent Sherfield,MIA,WR169,371.0,19.0
515,16,Mike Thomas,CIN,WR170,375.0,20.0
516,16,Brock Wright,DET,TE82,375.0,6.0
517,16,Jakeem Grant Sr.,CLE,WR171,383.5,0.5
518,16,Deon Jackson,IND,RB147,385.0,3.0
519,16,Bo Melton,SEA,WR172,389.0,1.0